Model,Accuracy,Precision,Recall,F1_Score
mobilenet,0.9611650485436893,0.9679189531447868,0.9611650485436893,0.9607299230371761
cnn,0.9320388349514563,0.9365816935776958,0.9320388349514563,0.9316981321622573
inceptionv3,0.8349514563106796,0.8387116658961319,0.8349514563106796,0.8323510078101924
vgg16,0.7087378640776699,0.8026415332240576,0.7087378640776699,0.7131179987216586
resnet50,0.2912621359223301,0.23216828478964402,0.2912621359223301,0.20569294782887015
efficientnetb0,0.1553398058252427,0.024130455273824108,0.1553398058252427,0.04177204862527535
